GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,321004407,*****
8600000US32145,32145,ZCTA5 32145,5662,542
8600000US32147,32147,ZCTA5 32147,668,448
8600000US32148,32148,ZCTA5 32148,10745,1130
8600000US32157,32157,ZCTA5 32157,191,78
8600000US32159,32159,ZCTA5 32159,30742,874
8600000US32162,32162,ZCTA5 32162,55439,1495
8600000US32164,32164,ZCTA5 32164,45739,1199
8600000US32168,32168,ZCTA5 32168,25288,1087
8600000US32169,32169,ZCTA5 32169,10232,581
8600000US32174,32174,ZCTA5 32174,50041,1193
8600000US32176,32176,ZCTA5 32176,14772,832
8600000US32177,32177,ZCTA5 32177,26331,1108
8600000US32179,32179,ZCTA5 32179,8023,1086
8600000US32180,32180,ZCTA5 32180,3825,668
8600000US32181,32181,ZCTA5 32181,2145,475
8600000US32187,32187,ZCTA5 32187,1654,407
8600000US32189,32189,ZCTA5 32189,5866,845
8600000US32190,32190,ZCTA5 32190,1265,529
8600000US32193,32193,ZCTA5 32193,811,229
8600000US32195,32195,ZCTA5 32195,3620,651
8600000US32202,32202,ZCTA5 32202,6240,523
8600000US32204,32204,ZCTA5 32204,7573,618
8600000US32205,32205,ZCTA5 32205,28865,1060
8600000US32206,32206,ZCTA5 32206,16750,1002
8600000US32207,32207,ZCTA5 32207,35381,1456
8600000US32208,32208,ZCTA5 32208,32470,1270
8600000US32209,32209,ZCTA5 32209,35541,1575
8600000US32210,32210,ZCTA5 32210,60819,1796
8600000US32211,32211,ZCTA5 32211,34112,1441
8600000US32212,32212,ZCTA5 32212,2663,485
8600000US32216,32216,ZCTA5 32216,38120,1517
8600000US32217,32217,ZCTA5 32217,18878,1103
8600000US32218,32218,ZCTA5 32218,59891,2429
8600000US32219,32219,ZCTA5 32219,11810,1561
8600000US32220,32220,ZCTA5 32220,13928,880
8600000US32221,32221,ZCTA5 32221,30040,1624
8600000US32222,32222,ZCTA5 32222,9710,1214
8600000US32223,32223,ZCTA5 32223,24371,920
8600000US32224,32224,ZCTA5 32224,40354,1639
8600000US32225,32225,ZCTA5 32225,54270,1613
8600000US32226,32226,ZCTA5 32226,16289,1122
8600000US32227,32227,ZCTA5 32227,2848,668
8600000US32228,32228,ZCTA5 32228,390,218
8600000US32233,32233,ZCTA5 32233,24423,995
8600000US32234,32234,ZCTA5 32234,6177,884
8600000US32244,32244,ZCTA5 32244,60141,1872
8600000US32246,32246,ZCTA5 32246,51513,2197
8600000US32250,32250,ZCTA5 32250,26574,533
8600000US32254,32254,ZCTA5 32254,12972,1047
8600000US32256,32256,ZCTA5 32256,44557,1802
8600000US32257,32257,ZCTA5 32257,38069,1497
8600000US32258,32258,ZCTA5 32258,30529,1840
8600000US32259,32259,ZCTA5 32259,47988,1346
8600000US32266,32266,ZCTA5 32266,7030,341
8600000US32277,32277,ZCTA5 32277,30415,1246
8600000US32301,32301,ZCTA5 32301,29668,1106
